装備ID,装備名,種別,装甲,火力,雷装,爆装,対潜
132,零式水中聴音機,ソナー,0,0,0,0,11
133,381mm/50 三連装砲,大口径主砲,0,20,0,0,0
134,OTO 152mm三連装速射砲,副砲,1,8,0,0,0
135,90mm単装高角砲,副砲,0,1,0,0,0
136,プリエーゼ式水中防御隔壁,追加装甲(大型),7,0,0,0,0
137,381mm/50 三連装砲改,大口径主砲,0,21,0,0,0
138,二式大艇,大型飛行艇,0,0,0,0,1
139,15.2cm連装砲改,中口径主砲,0,5,0,0,0
140,96式150cm探照灯,大型探照灯,0,0,0,0,0
141,32号対水上電探改,大型電探,0,0,0,0,0
142,15m二重測距儀+21号電探改二,大型電探,1,1,0,0,0
143,九七式艦攻(村田隊),艦上攻撃機,0,0,12,0,5
144,天山一二型(村田隊),艦上攻撃機,0,0,15,0,6
145,戦闘糧食,戦闘糧食,0,0,0,0,0
146,洋上補給,洋上補給,-2,0,0,0,0
147,120mm連装砲,小口径主砲,0,3,0,0,0
148,試製南山,艦上爆撃機,0,0,0,11,4
149,四式水中聴音機,ソナー,0,0,0,0,12
150,秋刀魚の缶詰,戦闘糧食,0,0,0,0,0
151,試製景雲(艦偵型),艦上偵察機,0,2,0,0,0
152,零式艦戦52型(熟練),艦上戦闘機,0,0,0,0,0
153,零戦52型丙(付岩井小隊),艦上戦闘機,0,0,0,0,0
154,零戦62型(爆戦/岩井隊),艦上戦闘機,0,0,0,4,3
155,零戦21型(付岩本小隊),艦上戦闘機,0,0,0,0,0
156,零戦52型甲(付岩本小隊),艦上戦闘機,0,0,0,0,0
157,零式艦戦53型(岩本隊),艦上戦闘機,0,0,0,0,0
158,Bf109T改,艦上戦闘機,0,1,0,0,0
159,Fw190T改,艦上戦闘機,0,2,0,0,0
160,10.5cm連装砲,副砲,0,3,0,0,0
161,16inch三連装砲 Mk.7,大口径主砲,1,24,0,0,0
162,203mm/53 連装砲,中口径主砲,0,9,0,0,0
163,Ro.43水偵,水上偵察機,0,1,0,0,2
164,Ro.44水上戦闘機,水上戦闘機,0,0,0,0,1
165,二式水戦改,水上戦闘機,0,0,0,0,1
166,大発動艇(八九式中戦車&陸戦隊),上陸用舟艇,0,0,0,0,0
167,特二式内火艇,特型内火艇,0,0,0,0,0
171,OS2U,水上偵察機,0,0,0,1,1
172,5inch連装砲 Mk.28 mod.2,副砲,1,4,0,0,0
173,Bofors 40mm四連装機関砲,対空機銃,1,1,0,0,0
174,53cm連装魚雷,魚雷,0,0,3,0,0
178,PBY-5A Catalina,大型飛行艇,0,0,0,0,2
179,試製61cm六連装(酸素)魚雷,魚雷,0,0,14,0,0
181,零式艦戦32型,艦上戦闘機,0,0,0,0,0
182,零式艦戦32型(熟練),艦上戦闘機,0,0,0,0,0
183,16inch三連装砲 Mk.7+GFCS,大口径主砲,1,24,0,0,0
184,Re.2001 OR改,艦上戦闘機,0,3,0,0,0
188,Re.2001 G改,艦上攻撃機,0,3,4,0,0
189,Re.2005 改,艦上戦闘機,0,1,0,0,0
190,38.1cm Mk.I連装砲,大口径主砲,0,18,0,0,0
191,QF 2ポンド8連装ポンポン砲,対空機銃,0,1,0,0,0
192,38.1cm Mk.I/N連装砲改,大口径主砲,0,19,0,0,0
193,特大発動艇,上陸用舟艇,0,0,0,0,0
194,Laté 298B,水上爆撃機,0,2,4,5,2
195,SBD,艦上爆撃機,0,1,0,6,3
196,TBD,艦上攻撃機,0,1,5,0,4
197,F4F-3,艦上戦闘機,0,1,0,0,0
198,F4F-4,艦上戦闘機,0,1,0,0,0
199,噴式景雲改,噴式戦闘爆撃機,0,0,0,15,0
200,橘花改,噴式戦闘爆撃機,0,0,0,11,0
203,艦本新設計 増設バルジ(中型艦),追加装甲(中型),8,0,0,0,0
204,艦本新設計 増設バルジ(大型艦),追加装甲(大型),10,0,0,0,0
205,F6F-3,艦上戦闘機,0,1,0,0,0
207,瑞雲(六三一空),水上爆撃機,0,0,0,7,2
208,晴嵐(六三一空),水上爆撃機,0,0,0,12,3
209,彩雲(輸送用分解済),輸送機材,0,0,0,0,0
210,潜水艦搭載電探&水防式望遠鏡,潜水艦装備,0,1,0,0,0
211,潜水艦搭載電探&逆探(E27),潜水艦装備,0,1,0,0,0
212,彩雲(東カロリン空),艦上偵察機,0,1,0,0,0
213,後期型艦首魚雷(6門),潜水艦魚雷,0,0,15,0,0
214,熟練聴音員+後期型艦首魚雷(6門),潜水艦魚雷,0,0,15,0,0
215,Ro.44水上戦闘機bis,水上戦闘機,0,0,0,0,1
216,二式水戦改(熟練),水上戦闘機,0,0,0,0,1
217,強風改,水上戦闘機,0,0,0,0,0
219,零式艦戦63型(爆戦),艦上爆撃機,0,0,0,5,2
220,8cm高角砲改+増設機銃,副砲,0,1,0,0,0
226,九五式爆雷,爆雷,0,0,0,0,4
227,二式爆雷,爆雷,0,0,0,0,7
228,九六式艦戦改,艦上戦闘機,0,0,0,0,0
229,12.7cm単装高角砲(後期型),小口径主砲,0,1,0,0,1
230,特大発動艇+戦車第11連隊,上陸用舟艇,0,0,0,0,0
231,30.5cm三連装砲,大口径主砲,1,16,0,0,0
232,30.5cm三連装砲改,大口径主砲,1,17,0,0,0
501,5inch単装砲,小口径主砲,0,1,0,0,0
502,5inch連装砲,小口径主砲,0,2,0,0,0
503,3inch単装高角砲,小口径主砲,0,1,0,0,0
504,5inch単装高射砲,中口径主砲,0,2,0,0,0
505,8inch三連装砲,中口径主砲,0,8,0,0,0
506,6inch連装速射砲,中口径主砲,0,3,0,0,0
507,14inch連装砲,大口径主砲,0,10,0,0,0
508,16inch連装砲,大口径主砲,0,15,0,0,0
509,16inch三連装砲,大口径主砲,0,20,0,0,0
510,5inch単装高射砲,副砲,0,1,0,0,0
511,6inch単装砲,副砲,0,1,0,0,0
512,12.5inch連装副砲,副砲,0,7,0,0,0
513,21inch魚雷前期型,魚雷,0,0,2,0,0
514,21inch魚雷後期型,魚雷,0,0,5,0,0
515,高速深海魚雷,魚雷,0,0,10,0,0
516,深海棲艦攻,艦上攻撃機,0,0,4,0,2
517,深海棲艦攻 Mark.II,艦上攻撃機,0,0,6,0,4
518,深海棲艦攻 Mark.III,艦上攻撃機,0,0,11,0,7
519,深海棲艦戦,艦上戦闘機,0,0,0,0,0
520,深海棲艦戦 Mark.II,艦上戦闘機,0,0,0,0,0
521,深海棲艦戦 Mark.III,艦上戦闘機,0,0,0,0,0
522,飛び魚艦戦,艦上戦闘機,0,0,0,0,0
523,深海棲艦爆,艦上爆撃機,0,0,0,3,1
524,深海棲艦爆 Mark.II,艦上爆撃機,0,0,0,6,2
525,深海棲艦偵察機,水上偵察機,0,0,0,1,1
526,飛び魚偵察機,水上偵察機,0,0,0,4,2
527,対空レーダ― Mark.I,小型電探,0,0,0,0,0
528,水上レーダ― Mark.I,小型電探,0,0,0,0,0
529,水上レーダ― Mark.II,小型電探,0,0,0,0,0
530,対空レーダ― Mark.II,小型電探,0,0,0,0,0
531,深海水上レーダー,大型電探,0,0,0,0,5
532,深海対空レーダ―,大型電探,0,0,0,0,5
533,改良型深海タービン,機関部強化,0,0,0,0,0
534,強化型深海缶,機関部強化,0,0,0,0,0
535,対空散弾,対空強化弾,0,0,0,0,0
536,劣化徹甲弾,対艦強化弾,0,15,0,0,0
537,12.7mm機銃,対空機銃,0,0,0,0,0
538,20mm機銃,対空機銃,0,0,0,0,0
539,40mm二連装機関砲,対空機銃,0,0,0,0,0
540,40mm四連装機関砲,対空機銃,0,0,0,0,0
541,深海烏賊魚雷,魚雷,0,0,18,0,0
542,深海爆雷投射機,爆雷投射機,0,0,0,0,7
543,深海ソナー,ソナー,0,0,0,0,9
544,深海爆雷投射機 Mk.II,爆雷投射機,0,0,0,0,13
545,深海ソナー Mk.II,ソナー,0,0,0,0,16
546,飛び魚艦爆,艦上爆撃機,0,0,0,10,7
547,深海猫艦戦,艦上戦闘機,0,0,0,0,0
548,深海地獄艦爆,艦上爆撃機,0,0,0,11,4
549,深海復讐艦攻,艦上攻撃機,0,0,13,0,5
550,5inch連装両用莢砲,小口径主砲,0,2,0,0,0
551,20inch連装砲,大口径主砲,0,27,0,0,0
552,15inch要塞砲,大口径主砲,3,13,0,0,0
553,4inch連装両用砲+CIC,小口径主砲,0,5,0,0,0
554,深海水上攻撃機,水上爆撃機,0,0,0,8,8
555,深海水上攻撃機改,水上爆撃機,0,0,0,13,10
556,深海猫艦戦改,艦上戦闘機,0,0,0,0,0
557,深海地獄艦爆改,艦上爆撃機,0,0,0,15,8
558,深海復讐艦攻改,艦上攻撃機,0,0,16,0,9
559,深海FCS+CIC,ソナー,0,0,0,0,20
560,深海探照灯,探照灯,0,2,0,0,0
561,深海解放陸爆,艦上爆撃機,0,0,0,11,5
562,深海解放陸爆Ace,艦上爆撃機,0,0,0,16,7
563,8inch長射程連装砲,中口径主砲,0,8,0,0,0
564,深海水上偵察観測機,水上偵察機,0,0,0,0,2
565,5inch沿岸設置砲,小口径主砲,2,3,0,0,0
566,深海猫艦戦(爆装),艦上爆撃機,0,0,0,8,2
567,沿岸設置レーダー,大型電探,0,0,0,0,0
568,16inch三連装砲,大口径主砲,1,24,0,0,0
569,深海偵察飛行艇,水上偵察機,0,3,0,0,2
570,高速深海魚雷 mod.2,魚雷,0,0,13,0,0
571,深海水母小鬼機,水上爆撃機,4,4,0,15,15
572,深海熊猫艦戦,艦上戦闘機,8,8,0,0,0
573,深海潜水下駄履き,水上爆撃機,3,6,0,18,9
574,深海攻撃哨戒鷹,艦上攻撃機,3,3,0,14,22
575,深海攻撃哨戒鷹改,艦上攻撃機,3,5,0,18,27
576,深海12inch三連装砲,大口径主砲,2,16,0,0,0
